ticker,name,provider,asset_class,mer,distribution_yield,risk_rating,currency,tracking_index,inception_date,aum_millions,management_fee,perf_1y,perf_3y,perf_5y,perf_since_inception,sector_1_label,sector_1_weight,sector_2_label,sector_2_weight,sector_3_label,sector_3_weight,holding_1_label,holding_1_weight,holding_2_label,holding_2_weight,holding_3_label,holding_3_weight,holding_4_label,holding_4_weight,holding_5_label,holding_5_weight
ZWE,BMO Europe High Dividend Covered Call Hedged to CAD ETF,BMO,Equity,0.25,6.79,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CAGG,CI Canadian Aggregate Bond Index ETF,CI,Fixed Income,0.25,3.44,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ENCC,Global X Canadian Oil and Gas Equity Covered Call ETF,Global X,Equity,0.25,12.11,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
DXDB,Dynamic Active Discount Bond ETF,Dynamic,Fixed Income,0.25,4.14,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
BTCX.B,CI Galaxy Bitcoin ETF,CI,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZMP,BMO Mid Provincial Bond Index ETF,BMO,Fixed Income,0.25,2.98,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
JAPN.B,CI Japan Equity Index ETF,CI,Equity,0.25,1.96,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VCB,Vanguard Canadian Corporate Bond Index ETF,Vanguard,Fixed Income,0.25,3.83,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZFM,BMO Mid Federal Bond Index ETF,BMO,Fixed Income,0.25,2.41,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
GLCC,Global X Gold Producer Equity Covered Call ETF,Global X,Equity,0.25,5.39,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XMD,iShares S&P/TSX Completion Index ETF,iShares,Equity,0.25,0.85,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
TCSH,TD Cash Management ETF,TD,Fixed Income,0.25,2.8,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
BSKT,Manulife Smart Core Bond ETF,Manulife,Fixed Income,0.25,3.31,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
USSX,Global X S&P 500 Index ETF,Global X,Equity,0.25,1.12,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XSU,iShares U.S. Small Cap Index ETF (CAD-Hedged),iShares,Equity,0.25,0.81,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
